    lambda_l2  learning_rate  max_depth  min_data_in_leaf  num_leaves  num_boost_round  ra_medio    ra_std
0         0.0           0.05          8                 1           8               10  0.657143  0.008571
1         0.1           0.05         -1                 3           8               10  0.654286  0.011429
2         0.0           0.10         -1                 3           8               10  0.654286  0.021429
3         0.0           0.05         -1                 1           5               10  0.652857  0.002857
4         0.1           0.05          8                 3           8               10  0.652143  0.017857
5         0.1           0.10          8                 3           8               50  0.651429  0.008571
6         0.0           0.05          8                 1           3               10  0.651429  0.015714
7         0.0           0.05          8                 1           5               10  0.651429  0.001429
8         0.0           0.05         -1                 3           8               10  0.650714  0.002143
9         0.0           0.10          8                 3           8               50  0.650000  0.027143
10        0.0           0.10          8                 3           8               10  0.649286  0.009286
11        0.1           0.05          8                 1           5               10  0.649286  0.017857
12        0.1           0.05          8                 1           8               10  0.648571  0.005714
13        0.1           0.05         -1                 3           5               10  0.647143  0.017143
14        0.0           0.05          8                 3           5               10  0.645714  0.010000
15        0.0           0.05          8                 3           8               10  0.645000  0.006429
16        0.0           0.10         -1                 3           8               50  0.645000  0.020714
17        0.0           0.05         -1                 1           3               10  0.645000  0.017857
18        0.0           0.05         -1                 3           3               10  0.644286  0.027143
19        0.0           0.05         -1                 3           5               10  0.644286  0.005714
20        0.1           0.05         -1                 1           8               10  0.644286  0.005714
21        0.1           0.10         -1                 3           8               50  0.643571  0.006429
22        0.1           0.10          8                 1           8               50  0.643571  0.026429
23        0.1           0.10         -1                 1           8               50  0.643571  0.026429
24        0.0           0.05          8                 3           3               10  0.642857  0.021429
25        0.1           0.05          8                 3           5               10  0.642143  0.012143
26        0.0           0.05         -1                 1           8               10  0.639286  0.007857
27        0.1           0.05          8                 1           3               10  0.638571  0.024286
28        0.0           0.10         -1                 1           8               10  0.638571  0.004286
29        0.0           0.10         -1                 1           8               50  0.637857  0.026429
30        0.0           0.10          8                 1           8               50  0.637857  0.025000
31        0.1           0.05         -1                 3           3               10  0.635714  0.021429
32        0.1           0.05         -1                 1           3               10  0.635714  0.027143
33        0.1           0.10         -1                 3           8               10  0.635000  0.006429
34        0.1           0.10         -1                 1           5               10  0.634286  0.002857
35        0.0           0.05          8                 3           8               50  0.632857  0.037143
36        0.1           0.05         -1                 1           5               10  0.632857  0.014286
37        0.0           0.10          8                 1           8               10  0.632857  0.011429
38        0.1           0.10          8                 3           8               10  0.632857  0.017143
39        0.1           0.05          8                 3           3               10  0.632857  0.025714
40        0.0           0.10          8                 3           5               10  0.632143  0.005000
41        0.1           0.05          8                 3           5               50  0.631429  0.034286
42        0.1           0.05         -1                 3           8               50  0.630000  0.031429
43        0.0           0.05         -1                 3           5               50  0.629286  0.025000
44        0.1           0.10          8                 1           5               10  0.629286  0.012143
45        0.0           0.05         -1                 3           8               50  0.628571  0.040000
46        0.1           0.05          8                 3           8               50  0.627857  0.030714
47        0.1           0.05         -1                 3           5               50  0.627143  0.035714
48        0.1           0.10          8                 3           5               10  0.626429  0.009286
49        0.0           0.10          8                 1           5               10  0.626429  0.000714
50        0.1           0.10          8                 1           8               10  0.625714  0.002857
51        0.0           0.10         -1                 1           5               10  0.625000  0.009286
52        0.1           0.05         -1                 1           5               50  0.624286  0.005714
53        0.1           0.10          8                 1           5               50  0.622857  0.002857
54        0.1           0.10         -1                 3           5               10  0.622857  0.010000
55        0.0           0.05         -1                 1           5               50  0.622143  0.017857
56        0.0           0.05          8                 3           5               50  0.622143  0.023571
57        0.1           0.05          8                 1           5               50  0.620714  0.023571
58        0.0           0.10          8                 3           5               50  0.620714  0.022143
59        0.0           0.10         -1                 3           5               50  0.620000  0.028571
60        0.1           0.10         -1                 1           5               50  0.618571  0.008571
61        0.0           0.10         -1                 3           5               10  0.618571  0.011429
62        0.1           0.05         -1                 1           8               50  0.617857  0.015000
63        0.0           0.10         -1                 1           5               50  0.616429  0.016429
64        0.1           0.05          8                 1           8               50  0.616429  0.015000
65        0.1           0.10         -1                 3           5               50  0.616429  0.000714
66        0.0           0.10          8                 1           5               50  0.615714  0.014286
67        0.0           0.05         -1                 1           8               50  0.615714  0.015714
68        0.0           0.05          8                 1           5               50  0.614286  0.020000
69        0.1           0.10         -1                 1           8               10  0.612857  0.008571
70        0.1           0.05          8                 1           3               50  0.612857  0.008571
71        0.1           0.05         -1                 1           3               50  0.610000  0.010000
72        0.0           0.05          8                 1           8               50  0.607857  0.013571
73        0.1           0.10          8                 3           5               50  0.607143  0.005714
74        0.0           0.10          8                 3           3               10  0.600000  0.011429
75        0.0           0.10          8                 1           3               10  0.599286  0.000714
76        0.1           0.10          8                 3           3               10  0.592857  0.007143
77        0.1           0.10         -1                 3           3               10  0.592857  0.012857
78        0.0           0.05          8                 1           3               50  0.590714  0.040714
79        0.0           0.10         -1                 3           3               10  0.589286  0.013571
80        0.0           0.05         -1                 1           3               50  0.587857  0.043571
81        0.1           0.10         -1                 1           3               10  0.587143  0.017143
82        0.1           0.10          8                 1           3               10  0.586429  0.015000
83        0.0           0.10         -1                 1           3               10  0.585714  0.014286
84        0.1           0.05         -1                 3           3               50  0.582857  0.035714
85        0.1           0.05          8                 3           3               50  0.582143  0.036429
86        0.0           0.05         -1                 3           3               50  0.581429  0.060000
87        0.0           0.05          8                 3           3               50  0.579286  0.052143
88        0.1           0.10          8                 1           3               50  0.561429  0.010000
89        0.1           0.10         -1                 1           3               50  0.560714  0.016429
90        0.0           0.10         -1                 1           3               50  0.549286  0.013571
91        0.1           0.10          8                 3           3               50  0.545714  0.028571
92        0.1           0.10         -1                 3           3               50  0.544286  0.022857
93        0.0           0.10          8                 1           3               50  0.544286  0.014286
94        0.0           0.10          8                 3           3               50  0.540000  0.034286
95        0.0           0.10         -1                 3           3               50  0.535000  0.035000
