lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_leaves,num_boost_round,ra_medio,ra_std
0.0,0.1,-1,3,8,10,0.6557142857142857,0.015714285714285736
0.0,0.05,8,1,5,10,0.6528571428571428,0.005714285714285783
0.0,0.05,-1,3,5,10,0.6514285714285715,0.0028571428571428914
0.1,0.05,8,1,8,10,0.6500000000000001,0.014285714285714235
0.1,0.1,-1,3,8,50,0.65,0.008571428571428563
0.0,0.05,8,1,3,10,0.6492857142857142,0.020714285714285685
0.0,0.05,-1,3,8,10,0.6485714285714287,0.0071428571428572285
0.1,0.1,8,3,8,50,0.6478571428571429,0.0007142857142856673
0.0,0.1,-1,3,8,50,0.6471428571428572,0.01428571428571429
0.0,0.1,8,3,8,10,0.6471428571428572,0.015714285714285736
0.0,0.05,-1,3,3,10,0.6457142857142857,0.017142857142857182
0.1,0.05,8,3,5,10,0.6457142857142857,0.015714285714285736
0.0,0.05,-1,1,5,10,0.6457142857142857,0.0014285714285713347
0.1,0.05,-1,1,5,10,0.645,0.013571428571428623
0.1,0.05,-1,1,8,10,0.6442857142857144,0.01571428571428579
0.1,0.1,8,3,8,10,0.6442857142857144,0.0071428571428571175
0.1,0.1,-1,1,8,50,0.6435714285714287,0.029285714285714304
0.0,0.05,8,3,8,10,0.6435714285714286,0.02214285714285713
0.0,0.05,8,3,5,10,0.6435714285714286,0.002142857142857113
0.0,0.05,8,3,3,10,0.6428571428571429,0.011428571428571455
0.0,0.1,8,3,8,50,0.6428571428571429,0.019999999999999907
0.0,0.1,8,1,8,50,0.6428571428571429,0.02857142857142858
0.1,0.05,-1,3,8,10,0.6428571428571429,0.021428571428571463
0.1,0.05,-1,3,5,10,0.6428571428571429,0.011428571428571455
0.0,0.1,-1,1,8,50,0.6428571428571428,0.030000000000000027
0.1,0.05,8,3,3,10,0.6414285714285715,0.03142857142857142
0.0,0.05,-1,1,8,10,0.6407142857142858,0.007857142857142896
0.0,0.05,-1,1,3,10,0.6407142857142858,0.01642857142857146
0.1,0.05,8,1,3,10,0.6407142857142858,0.032142857142857084
0.0,0.05,8,3,8,50,0.6400000000000001,0.035714285714285754
0.1,0.05,-1,3,3,10,0.6392857142857142,0.03357142857142864
0.0,0.05,8,1,8,10,0.6385714285714286,0.008571428571428508
0.1,0.05,-1,1,3,10,0.6385714285714286,0.017142857142857126
0.1,0.05,8,1,5,10,0.6385714285714286,0.004285714285714282
0.1,0.1,8,1,8,50,0.6378571428571429,0.023571428571428577
0.0,0.1,8,1,8,10,0.6364285714285716,0.013571428571428568
0.1,0.1,-1,3,8,10,0.6342857142857143,0.01285714285714279
0.1,0.05,8,3,8,10,0.632857142857143,0.017142857142857182
0.1,0.1,8,1,5,10,0.6328571428571429,0.0071428571428572285
0.0,0.05,-1,3,5,50,0.6328571428571429,0.022857142857142798
0.0,0.05,8,3,5,50,0.6321428571428572,0.02214285714285713
0.1,0.05,8,3,8,50,0.6314285714285715,0.03142857142857147
0.1,0.05,-1,3,5,50,0.6314285714285715,0.027142857142857135
0.1,0.05,-1,3,8,50,0.63,0.03285714285714292
0.0,0.1,-1,1,8,10,0.63,0.011428571428571455
0.1,0.05,8,3,5,50,0.6292857142857143,0.03785714285714281
