lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_leaves,num_boost_round,ra_medio,ra_std
0.0,0.05,8,1,5,10,0.6542857142857144,0.0
0.0,0.05,8,3,8,10,0.6542857142857144,0.005714285714285783
0.0,0.05,-1,1,5,10,0.6528571428571428,0.005714285714285727
0.0,0.1,-1,3,8,10,0.6507142857142857,0.015000000000000013
0.1,0.1,8,3,8,50,0.6500000000000001,0.002857142857142836
0.0,0.05,-1,1,3,10,0.6500000000000001,0.0242857142857143
0.0,0.1,8,3,8,10,0.6492857142857142,0.013571428571428568
0.0,0.05,8,3,5,10,0.6485714285714286,0.0071428571428571175
0.0,0.05,8,1,3,10,0.6485714285714286,0.017142857142857126
0.1,0.05,-1,3,5,10,0.6478571428571429,0.00500000000000006
0.0,0.1,-1,1,8,50,0.6464285714285716,0.026428571428571523
0.0,0.1,-1,3,8,50,0.6464285714285716,0.02071428571428563
0.0,0.05,-1,3,8,10,0.6464285714285715,0.0050000000000000044
0.0,0.05,-1,3,3,10,0.6464285714285715,0.017857142857142905
0.1,0.1,-1,1,8,50,0.6450000000000001,0.03214285714285714
0.1,0.05,8,3,8,10,0.645,0.014999999999999902
0.1,0.05,-1,1,3,10,0.6442857142857144,0.018571428571428572
0.1,0.05,8,3,5,10,0.6442857142857144,0.022857142857142743
0.1,0.05,-1,1,8,10,0.6442857142857144,0.01571428571428579
0.1,0.1,8,3,8,10,0.6442857142857142,0.011428571428571455
0.1,0.05,-1,3,3,10,0.6435714285714287,0.027857142857142858
0.0,0.1,8,3,8,50,0.642857142857143,0.021428571428571408
0.1,0.05,-1,3,8,10,0.6428571428571429,0.02285714285714291
0.1,0.1,-1,3,8,50,0.6428571428571429,0.01571428571428568
0.0,0.05,-1,3,5,10,0.6414285714285716,0.004285714285714337
0.1,0.1,8,1,8,50,0.6414285714285715,0.02857142857142847
0.1,0.05,8,3,3,10,0.6392857142857145,0.023571428571428632
0.0,0.05,8,1,8,10,0.6385714285714287,0.011428571428571455
0.1,0.1,-1,3,8,10,0.6385714285714286,0.0128571428571429
0.0,0.05,-1,3,8,50,0.6385714285714286,0.030000000000000027
0.0,0.05,8,3,3,10,0.6378571428571429,0.01642857142857146
0.1,0.05,8,1,8,10,0.6378571428571429,0.015000000000000069
0.1,0.05,-1,1,5,10,0.6378571428571429,0.00642857142857145
0.1,0.05,8,1,3,10,0.6378571428571428,0.025000000000000022
0.0,0.1,8,1,8,10,0.6371428571428571,0.004285714285714337
0.0,0.05,-1,1,8,10,0.6357142857142857,7.850462293418876e-17
0.1,0.05,8,1,5,10,0.635,0.00785714285714284
0.0,0.1,8,1,8,50,0.6328571428571429,0.03285714285714281
0.0,0.1,-1,1,5,10,0.6321428571428572,0.0050000000000000044
0.0,0.1,-1,1,8,10,0.6321428571428572,0.0050000000000000044
0.1,0.05,8,3,5,50,0.6321428571428571,0.033571428571428585
0.1,0.05,-1,3,5,50,0.6314285714285716,0.02857142857142858
0.1,0.1,8,1,5,10,0.6314285714285715,0.007142857142857173
0.0,0.05,-1,3,5,50,0.6314285714285715,0.024285714285714244
0.1,0.05,8,3,8,50,0.6307142857142858,0.023571428571428577
0.0,0.1,8,3,5,10,0.6300000000000001,0.0028571428571428914
0.1,0.05,-1,3,8,50,0.6292857142857142,0.026428571428571412
0.0,0.05,8,3,8,50,0.6257142857142858,0.034285714285714364
0.1,0.1,-1,1,5,10,0.6257142857142858,0.014285714285714346
0.1,0.1,-1,3,5,50,0.6257142857142857,0.007142857142857173
0.1,0.05,-1,1,5,50,0.6235714285714287,0.01642857142857146
0.1,0.1,-1,1,5,50,0.6235714285714286,0.002142857142857113
0.1,0.1,8,3,5,10,0.6228571428571429,0.011428571428571455
0.0,0.1,-1,3,5,10,0.6221428571428571,0.0007142857142856673
0.1,0.1,-1,3,5,10,0.6221428571428571,0.0035714285714286143
0.0,0.1,8,3,5,50,0.6214285714285714,0.030000000000000027
0.0,0.05,8,3,5,50,0.6214285714285714,0.01571428571428579
0.1,0.1,-1,1,8,10,0.6207142857142857,0.002142857142857113
0.0,0.1,8,1,5,10,0.6200000000000001,0.0071428571428571175
0.1,0.1,8,1,8,10,0.62,0.0014285714285714457
0.0,0.05,-1,1,5,50,0.6185714285714287,0.021428571428571463
0.1,0.1,8,1,5,50,0.6178571428571429,0.00785714285714284
0.0,0.1,-1,3,5,50,0.6171428571428572,0.02285714285714291
0.1,0.1,8,3,5,50,0.6164285714285714,0.007857142857142896
0.0,0.05,8,1,8,50,0.6157142857142858,0.020000000000000018
0.0,0.1,-1,1,5,50,0.615,0.01642857142857146
0.0,0.1,8,1,5,50,0.615,0.02071428571428574
0.0,0.05,-1,1,8,50,0.6135714285714287,0.024999999999999967
0.1,0.05,8,1,5,50,0.6121428571428571,0.016428571428571404
0.1,0.05,-1,1,8,50,0.6114285714285714,0.018571428571428517
0.1,0.05,8,1,8,50,0.6107142857142858,0.012142857142857233
0.0,0.05,8,1,5,50,0.6100000000000001,0.022857142857142854
0.1,0.05,-1,1,3,50,0.6078571428571429,0.013571428571428568
0.1,0.05,8,1,3,50,0.6071428571428572,0.017142857142857126
0.0,0.1,-1,1,3,10,0.595,0.0035714285714285587
0.0,0.05,8,1,3,50,0.5907142857142859,0.04214285714285715
0.1,0.1,-1,3,3,10,0.5907142857142857,0.022142857142857186
0.0,0.1,8,1,3,10,0.5907142857142857,0.0035714285714285587
0.0,0.05,-1,1,3,50,0.5871428571428572,0.05142857142857138
0.0,0.1,-1,3,3,10,0.5871428571428572,0.012857142857142845
0.0,0.1,8,3,3,10,0.5864285714285715,0.0035714285714285587
0.1,0.1,-1,1,3,10,0.5864285714285715,0.015000000000000069
0.1,0.1,8,3,3,10,0.5842857142857143,0.009999999999999953
0.1,0.1,8,1,3,10,0.5821428571428573,0.00785714285714284
0.1,0.05,-1,3,3,50,0.5814285714285715,0.04142857142857148
0.1,0.05,8,3,3,50,0.5771428571428572,0.038571428571428534
0.0,0.05,-1,3,3,50,0.5757142857142857,0.05999999999999994
0.0,0.05,8,3,3,50,0.575,0.06357142857142861
0.1,0.1,-1,1,3,50,0.5614285714285715,0.01571428571428568
0.0,0.1,8,1,3,50,0.5607142857142858,0.02214285714285713
0.1,0.1,8,1,3,50,0.5585714285714287,0.017142857142857126
0.0,0.1,-1,1,3,50,0.5557142857142858,0.017142857142857182
0.1,0.1,8,3,3,50,0.5492857142857144,0.017857142857142794
0.1,0.1,-1,3,3,50,0.545,0.02214285714285713
0.0,0.1,8,3,3,50,0.5371428571428573,0.03857142857142859
0.0,0.1,-1,3,3,50,0.5321428571428573,0.027857142857142803
