lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_boost_round,num_leaves,ra_medio,ra_std
0.1,0.1,8,5,10,3,0.6112994350282486,0.0
0.0,0.1,-1,5,10,3,0.6107344632768361,0.0
0.1,0.1,-1,5,10,3,0.607909604519774,0.0
0.1,0.1,8,1,10,3,0.6070621468926554,0.0
0.1,0.1,-1,1,10,3,0.6062146892655367,0.0
0.0,0.1,8,1,10,3,0.6053672316384181,0.0
0.0,0.1,-1,1,10,3,0.6045197740112994,0.0
0.0,0.1,8,5,10,3,0.6028248587570622,0.0
0.0,0.1,8,5,10,5,0.5932203389830508,0.0
0.1,0.1,8,5,10,5,0.5911016949152542,0.002683615819209062
0.0,0.1,8,1,10,5,0.5891242937853107,0.0029661016949152352
0.1,0.1,-1,1,10,5,0.5885593220338984,0.0021186440677966045
0.0,0.1,-1,1,10,5,0.5875706214689266,0.003107344632768405
0.1,0.1,-1,5,10,5,0.5875706214689266,0.00028248587570622874
0.1,0.1,8,1,10,5,0.5875706214689265,0.0014124293785310882
0.0,0.1,-1,5,10,5,0.5871468926553672,0.0024011299435028333
0.0,0.1,8,1,50,3,0.5166666666666667,0.0
0.1,0.1,8,1,50,3,0.5124293785310734,0.0
0.0,0.1,-1,1,50,3,0.5121468926553673,0.0
0.1,0.1,-1,1,50,3,0.5098870056497176,0.0
0.0,0.1,-1,5,50,3,0.5067796610169492,0.0
0.0,0.1,8,5,50,3,0.5039548022598871,0.0
0.1,0.1,-1,5,50,3,0.4988700564971751,0.0
0.1,0.1,8,5,50,3,0.4968926553672316,0.0
0.0,0.1,8,1,50,5,0.4916666666666667,0.007768361581920957
0.0,0.1,-1,1,50,5,0.4912429378531073,0.009887005649717506
0.0,0.1,8,5,50,5,0.4884180790960452,0.006214689265536699
0.0,0.1,-1,5,50,5,0.488135593220339,0.0064971751412429835
0.1,0.1,8,5,50,5,0.4850282485875706,0.00028248587570617323
0.1,0.1,-1,5,50,5,0.4838983050847458,0.0019774011299434346
0.1,0.1,-1,1,50,5,0.47994350282485876,0.011299435028248594
0.1,0.1,8,1,50,5,0.47824858757062144,0.011299435028248539
