lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_leaves,num_boost_round,ra_features_medio,ra_features_std,ra_labels_medio,ra_labels_std
0.1,0.1,8,1,5,50,0.22869441669541116,0.002737484249945518,0.7222469101513679,0.06330429640318937
0.1,0.1,-1,1,5,50,0.22869441669541116,0.002737484249945518,0.7222469101513679,0.06330429640318937
0.0,0.1,-1,1,5,50,0.225211104192518,0.007957408220721175,0.7469286673147247,0.02821339188119963
0.0,0.1,8,1,5,50,0.22422072501877724,0.008069181077012131,0.760963755034023,0.03247412901257644
0.0,0.1,8,5,5,50,0.2215279239890516,0.006175964712298774,0.7134749803268065,0.05903070147814992
0.0,0.1,-1,5,5,50,0.2215279239890516,0.006175964712298774,0.7134749803268065,0.05903070147814992
0.1,0.1,-1,5,5,50,0.2191165952160168,0.005942810637185939,0.68359487108272,0.058543177283185484
0.1,0.1,8,5,5,50,0.2191165952160168,0.005942810637185939,0.68359487108272,0.058543177283185484
0.1,0.1,-1,5,3,50,0.20253003988394683,0.007761675005017541,0.824200342545017,0.04580008628491349
0.1,0.1,8,5,3,50,0.20096962339460026,0.006752531924965757,0.8488265518677962,0.05359434501421502
0.0,0.1,8,1,3,50,0.19664129683302645,0.006914546726882063,0.8119381567374901,0.013327316607238801
0.0,0.1,-1,1,3,50,0.19598875902839055,0.007522422402861483,0.8049020969309818,0.015141767207188687
0.1,0.1,-1,1,3,50,0.1951290367377291,0.005430600390119613,0.8207147155487663,0.03375756028144607
0.1,0.1,8,1,3,50,0.1951290367377291,0.005430600390119613,0.8207147155487663,0.03375756028144607
0.0,0.1,-1,5,3,50,0.1947182514973278,0.008541469719179955,0.8137064296625468,0.015152173302915862
0.0,0.1,8,5,3,50,0.1946331378706362,0.008570887328873608,0.8119474147109198,0.01320847920767925
0.1,0.1,8,1,5,10,0.15697132865357713,0.010590916936176089,0.7573855483034763,0.07565745488137246
0.1,0.1,-1,1,5,10,0.15697132865357713,0.010590916936176089,0.7573855483034763,0.07565745488137246
0.0,0.1,8,1,5,10,0.1569157808129994,0.010649973696511515,0.7643799472295515,0.11445369759509624
0.0,0.1,-1,1,5,10,0.1563781464043972,0.010135291385513943,0.7503448595102533,0.09842122532009204
0.1,0.1,8,5,5,10,0.15569596815257145,0.009931062780824255,0.7451557654029534,0.05886064719586313
0.0,0.1,-1,5,5,10,0.15447802201904456,0.009317275844505717,0.7239688932092765,0.09381827667570845
0.0,0.1,8,5,5,10,0.15447802201904456,0.009317275844505717,0.7239688932092765,0.09381827667570845
0.1,0.1,-1,5,5,10,0.1544509200484401,0.008543944066952058,0.762699625052076,0.06728395993918194
0.1,0.1,-1,1,3,10,0.1345004352740734,0.004654073737044745,0.7433921214646113,0.020561170106006072
0.1,0.1,8,1,3,10,0.13438695043848456,0.004814395819111656,0.7451511364162385,0.02142798399786805
0.1,0.1,8,5,3,10,0.13438695043848456,0.004814395819111656,0.7451511364162385,0.02142798399786805
0.1,0.1,-1,5,3,10,0.13424509439399843,0.004709371642286863,0.732838031754849,0.02890647467314567
0.0,0.1,-1,1,3,10,0.12913693289313158,0.007419102287805787,0.7082210804054992,0.05507191268514471
0.0,0.1,8,5,3,10,0.12913693289313158,0.007419102287805787,0.7082210804054992,0.05507191268514471
0.0,0.1,-1,5,3,10,0.12913693289313158,0.007419102287805787,0.7082210804054992,0.05507191268514471
0.0,0.1,8,1,3,10,0.12902344805754273,0.00745101302140578,0.7117391103087534,0.05736978305099178
