lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_boost_round,num_leaves,ra_features_medio,ra_features_std,ra_labels_medio,ra_labels_std
0.1,0.1,-1,5,50,5,0.4305807993459325,0.011264242981223822,0.6425381452015835,0.02780258844627587
0.0,0.1,-1,5,50,5,0.4297534319326088,0.005588586240371715,0.6221299819362773,0.02847148706830168
0.1,0.1,8,5,50,5,0.429137797902931,0.01181202390631698,0.6425381452015835,0.02780258844627587
0.0,0.1,-1,1,50,5,0.4274949425070491,0.004748746429730957,0.6153349475383374,0.03213768250517177
0.0,0.1,8,1,50,5,0.4274949425070491,0.004748746429730957,0.6153349475383374,0.03213768250517177
0.0,0.1,8,5,50,5,0.4254324636891223,0.008145048504171389,0.615365694300319,0.012146775761413873
0.1,0.1,8,1,50,5,0.419262496986468,0.010589448998518745,0.5995311118797801,0.010250996497312185
0.1,0.1,-1,1,50,5,0.4175144736888079,0.011804540207746224,0.6199008416926093,0.014860100442497217
0.0,0.1,-1,1,50,3,0.3515906208400155,0.008611658360322226,0.5859794765363772,0.01981223860438742
0.0,0.1,8,1,50,3,0.3515906208400155,0.008611658360322226,0.5859794765363772,0.01981223860438742
0.0,0.1,-1,5,50,3,0.3498418987523104,0.013295329421395063,0.6199085283831046,0.0006087548291086623
0.0,0.1,8,5,50,3,0.34963575568902444,0.01349072730809009,0.6199085283831046,0.0006087548291086623
0.1,0.1,8,1,50,3,0.34800652669902066,0.007115069395028268,0.597301971636112,0.013438423598230696
0.1,0.1,-1,1,50,3,0.34800652669902066,0.007115069395028268,0.597301971636112,0.013438423598230696
0.1,0.1,-1,5,50,3,0.3464566103791286,0.003949288708004516,0.5882624236135132,0.0397772129481258
0.1,0.1,8,5,50,3,0.3446013228095552,0.006429969446066282,0.5882624236135132,0.0397772129481258
0.0,0.1,-1,5,10,5,0.29670450614760535,0.011256464955186075,0.5090587647488374,0.0228443915331838
0.0,0.1,8,1,10,5,0.2960881733278827,0.012004507421139086,0.5000192167262385,0.01633582509840006
0.0,0.1,-1,1,10,5,0.2960881733278827,0.012004507421139086,0.5000192167262385,0.01633582509840006
0.0,0.1,8,5,10,5,0.29433386091981734,0.008444144438841991,0.5181290595334179,0.02881993778991359
0.1,0.1,8,1,10,5,0.29114213738911066,0.0052149212026229,0.5136092855221185,0.04438379626200898
0.1,0.1,-1,5,10,5,0.2904227330377451,0.00590544081007728,0.49324724239978485,0.0309403796550926
0.1,0.1,-1,1,10,5,0.28990527900939517,0.0039217805976354886,0.5022714170413928,0.03915287769219809
0.1,0.1,8,5,10,5,0.28949508925295847,0.004967720718856768,0.4887120950074946,0.026855787370047898
0.1,0.1,-1,5,10,3,0.26718726525021913,0.008290331593170004,0.5384834159652562,0.03337587390635928
0.1,0.1,-1,1,10,3,0.26718726525021913,0.008290331593170004,0.5384834159652562,0.03337587390635928
0.1,0.1,8,1,10,3,0.26718726525021913,0.008290331593170004,0.5384834159652562,0.03337587390635928
0.1,0.1,8,5,10,3,0.2666719075920044,0.007561505803449808,0.554356431838272,0.04724207210499813
0.0,0.1,8,1,10,3,0.2634721479757799,0.0013987859435236319,0.5113263384449825,0.029051305481310418
0.0,0.1,8,5,10,3,0.2583185713936319,0.007218577453355191,0.5249317806218533,0.03941919554158371
0.0,0.1,-1,1,10,3,0.2583185713936319,0.007218577453355191,0.5249317806218533,0.03941919554158371
0.0,0.1,-1,5,10,3,0.2583185713936319,0.007218577453355191,0.5249317806218533,0.03941919554158371
